City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,5.73,87,100,3.09,US,1684152873
1,konkwesso,10.8469,4.0984,37.96,32,100,3.62,NG,1684153102
2,vadso,70.0744,29.7487,20.49,47,0,4.63,NO,1684153104
3,waitangi,-43.9535,-176.5597,13.92,74,37,8.36,NZ,1684152692
4,lautoka,-17.6167,177.4667,20.92,88,75,0.0,FJ,1684153106
5,kain,50.6379,3.3809,13.66,91,100,7.63,BE,1684153107
6,santa helena,-2.2311,-45.3,28.48,78,44,2.27,BR,1684153108
7,labytnangi,66.6572,66.4183,1.78,78,57,5.51,RU,1684152895
8,codrington,-38.2667,141.9667,11.68,81,15,4.55,AU,1684152864
9,bethel,41.3712,-73.414,13.83,60,0,2.57,US,1684152761
10,stanley,54.868,-1.6985,14.04,59,20,3.09,GB,1684152737
11,uturoa,-16.7333,-151.4333,27.29,75,0,1.91,PF,1684152693
12,tidjikja,18.5564,-11.4271,38.13,10,33,6.97,MR,1684153114
13,adamstown,-25.066,-130.1015,23.6,88,100,12.49,PN,1684152703
14,west island,-12.1568,96.8225,27.99,78,40,3.6,CC,1684152694
15,tiksi,71.6872,128.8694,-3.32,91,87,2.36,RU,1684152700
16,enewetak,11.3474,162.3373,27.95,76,95,7.54,MH,1684152688
17,kapa'a,22.0752,-159.319,20.99,87,100,3.6,US,1684152934
18,arraial do cabo,-22.9661,-42.0278,22.98,83,0,2.57,BR,1684152973
19,kencong,-8.2833,113.3667,24.01,80,9,0.7,ID,1684153123
20,ushuaia,-54.8,-68.3,9.81,76,40,4.63,AR,1684152686
21,pathein,16.7833,94.7333,28.57,74,88,4.48,MM,1684153125
22,kilindoni,-7.9139,39.6668,27.9,71,26,4.29,TZ,1684153126
23,thompson,55.7435,-97.8558,15.62,60,100,1.02,CA,1684152695
24,hobyo,5.3505,48.5268,30.03,62,88,12.02,SO,1684152807
25,wailua homesteads,22.0669,-159.378,20.24,88,100,3.6,US,1684152744
26,santa elena de uairen,4.6167,-61.1333,22.32,86,95,1.06,VE,1684153130
27,puerto natales,-51.7236,-72.4875,5.24,92,52,1.86,CL,1684152713
28,essaouira,31.5125,-9.77,26.72,44,1,7.2,MA,1684153132
29,altamirano,16.8833,-92.15,12.82,97,62,0.98,MX,1684153133
30,serdar,38.9764,56.2757,21.8,44,37,11.59,TM,1684153134
31,qaqortoq,60.7167,-46.0333,2.19,92,100,4.79,GL,1684152711
32,quellon,-43.1167,-73.6167,11.42,95,100,6.45,CL,1684152819
33,hawaiian paradise park,19.5933,-154.9731,20.73,96,100,2.06,US,1684152720
34,spearfish,44.4908,-103.8594,9.56,83,0,2.24,US,1684153136
35,touros,-5.1989,-35.4608,28.43,77,49,5.38,BR,1684152574
36,papatowai,-46.5619,169.4708,4.23,79,1,3.1,NZ,1684152698
37,port elizabeth,-33.918,25.5701,20.73,62,19,0.45,ZA,1684152824
38,yellowknife,62.456,-114.3525,10.7,58,48,2.46,CA,1684152697
39,susuman,62.7833,148.1667,-1.72,76,100,2.02,RU,1684153145
40,punta arenas,-53.15,-70.9167,3.95,93,82,3.67,CL,1684152405
41,shuangjiang,26.1547,109.7138,21.14,83,98,1.78,CN,1684153147
42,georgetown,5.4112,100.3354,30.96,74,20,1.03,MY,1684152578
43,mount gambier,-37.8333,140.7667,11.85,94,36,2.94,AU,1684152954
44,san pablo,14.0669,121.3258,27.17,88,99,1.62,PH,1684153150
45,kuzhener,56.8111,48.9128,15.01,49,81,3.68,RU,1684153151
46,soio,-6.1349,12.3689,28.96,72,76,2.88,AO,1684153152
47,ribeira grande,38.5167,-28.7,19.87,88,20,3.6,PT,1684152627
